Page,Codename,URL,Total Interactions,Likes,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Percentage Views from Owned Posts,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,All Reactions,All Interaction Rate,Photos,Links,Statuses,Facebook Videos,Other Videos,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Posts Per Day,Page Likes,Page Growth,Page Growth %,Page Followers,Page Follower Growth,Page Follower Growth %,Interaction Rate Calculated With
La Preghiera di Oggi,,https://www.facebook.com/109465528128258,"2,285,661","1,122,243","694,599","163,78","548,352","205,223","753,575",72.77%,"235,011",0,36,0,"269,16","3,915","2,412","8,971","4,308","16,273","1,427,282",0.96%,0.96%,--,--,2.18%,0.4%,761,699,0,0,22,30,10,11.53,"315,106","1,57",0.5%,"327,098","4,517",1.4%,Followers
Santa Rita da Cascia Avocada dei casi impossibili prega per noi,intercedi,https://www.facebook.com/480795818770466,"1,082,980","451,752","356,951","59,801",0,0,0,0%,0,0,0,0,"183,986","1,029","1,646","8,587","1,482","17,746","666,228",0.17%,0.17%,--,0.03%,--,--,"1,483","1,446",0,37,0,0,0,22.47,"437,227",939,0.22%,"441,685","2,061",0.47%,Followers
Feeday.it,feeday.it,https://www.facebook.com/106322494168490,"726,484","400,711","86,506","98,88",0,0,0,0%,"38,963",0,0,0,"90,666","4,826","9,449","12,232","2,018","21,196","541,098",1.01%,1.09%,--,--,--,--,659,609,0,0,0,50,0,10.38,"109,164","1,173",1.09%,"137,855",969,0.71%,Followers
Il Gossip di Oggi,,https://www.facebook.com/110877124835098,"698,573","405,535","151,179","67,218",0,0,0,0%,"145,642",0,0,0,"45,999","2,942","1,711","10,651","2,177","11,161","480,176",0.5%,0.51%,--,--,--,--,700,652,0,0,0,48,0,11.01,"201,051",298,0.15%,"202,904",801,0.4%,Followers
Totò,,https://www.facebook.com/47861367820,"602,119","344,974","57,09","87,439",0,0,0,0%,"67,784",0,0,0,"71,923","8,661","4,967","11,547","1,203","14,315","457,59",0.1%,0.11%,--,--,--,--,669,614,0,0,0,55,0,10.14,"873,224",-300,-0.03%,"895,07",566,0.06%,Followers
Parole Al Vento,ParoleAlVentoOfficial,https://www.facebook.com/365386027442962,"383,789","195,595","63,766","57,562",0,0,0,0%,0,0,0,0,"46,36","1,077","1,819","6,078",824,"10,708","262,461",0.23%,0.23%,--,--,--,--,582,582,0,0,0,0,0,9.22,"283,848",756,0.27%,"314,025","1,683",0.54%,Followers
I migliori link da condividere,NewsDaCondividere,https://www.facebook.com/1443966132497087,"334,821","175,73","48,679","49,935","102,601","49,703","152,304",67.37%,"53,929",0,8,2,"39,402","1,461","5,17","7,153","1,016","6,275","236,207",0.03%,0.03%,--,--,0.06%,--,764,710,0,0,2,52,0,11.58,"1,648,767","1,472",0.09%,"1,624,549","5,797",0.36%,Followers
Quello che i TG non dicono,quellocheitgnondicono,https://www.facebook.com/1690268584634948,"213,395","55,243","103,727","17,933","3,644",824,"4,468",81.56%,0,0,4,1,"2,539","1,644","17,875","6,245","6,929","1,26","91,735",0.05%,0.04%,0.04%,0.58%,0.06%,--,"1,197","1,185",4,7,1,0,0,18.14,"382,876",-847,-0.22%,"401,352",-735,-0.18%,Followers
Mondi Incantati Raggio di Sole,ritanna61,https://www.facebook.com/296555967110017,"205,234","90,452","53,071","38,738",0,0,0,0%,0,0,0,0,"16,286",482,"1,597","2,298",712,"1,598","113,425",0.08%,0.08%,--,0.02%,--,--,"1,602","1,565",0,37,0,0,0,24.27.00,"159,542",295,0.19%,"162,673",472,0.29%,Followers
Spirito Libero,SpiritoLiberoOfficial,https://www.facebook.com/938033596332282,"174,219","88,933","13,138","62,913",0,0,0,0%,0,0,0,0,"5,464",273,716,"1,528",346,908,"98,168",0.1%,0.1%,--,--,--,--,580,580,0,0,0,0,0,9.19,"294,063",759,0.26%,"300,707","1,377",0.46%,Followers
Anacleto,OfficialAnacleto,https://www.facebook.com/45673135840,"152,212","81,573","21,815","18,539",0,0,0,0%,"18,503",0,0,0,"20,591","1,475","1,86","1,681",458,"4,22","111,858",0.03%,0.04%,--,--,--,--,744,694,0,0,0,50,0,11.27,"589,237","-1,102",-0.19%,"554,454",-670,-0.12%,Followers
Viaggiare al Verde,viaggiarealverde,https://www.facebook.com/353197985105992,"127,387","67,518","24,781","17,63",0,0,0,0%,"45,7",0,0,0,"9,619",753,"1,839","2,091",714,"2,442","84,976",0.03%,0.03%,--,--,--,--,746,696,0,0,0,50,0,11.3,"518,223",-550,-0.11%,"512,599",-193,-0.04%,Followers
Mondo24.it,Mondo24.it,https://www.facebook.com/303514376375567,"124,448","44,478","50,987","4,709",0,0,0,0%,0,0,0,0,"7,346","1,267","3,316","8,49","2,441","1,414","68,752",0.05%,0.05%,0.1%,0.02%,--,--,"1,343","1,308",1,34,0,0,0,20.35,"202,227","5,074",2.57%,"188,75","4,805",2.61%,Followers
Social24.it,social24.it,https://www.facebook.com/563681290377896,"74,957","26,784","33,358","2,955",0,0,0,0%,0,0,0,0,"3,689",526,"2,192","3,321","1,387",745,"38,644",0.05%,0.05%,0.31%,0.03%,--,--,"1,311","1,276",1,34,0,0,0,20.26,"109,046",-741,-0.67%,"103,089",-910,-0.88%,Followers
Ultime Notizie Flash,notizieflash,https://www.facebook.com/632105187211138,"61,142","28,269","15,953","5,283","495,194","3,45","498,644",99.31%,730,0,498,131,"1,284","1,167","2,264","4,601","1,944",377,"39,906",0.08%,0.07%,0.03%,--,0.16%,--,"1,187","1,04",12,0,133,2,0,18.38,"69,297","6,082",9.62%,"105,7","5,582",5.58%,Followers
Breaking News Italia,breakingnewsitaliane,https://www.facebook.com/107431468359599,"49,604","21,817","15,22","5,085","1,589,607","9,531","1,599,138",99.4%,17,0,499,131,558,491,"3,531","1,091","1,654",157,"29,299",0.16%,0.02%,0.01%,--,1.26%,--,"1,162","1,012",15,0,133,2,0,18.01,"27,52","3,772",15.88%,"33,068","6,554",24.72%,Followers
Direttanews24,direttanewsita,https://www.facebook.com/323011458035762,"31,018","6,021","18,435","1,432",0,0,0,0%,0,0,0,0,335,284,"2,697",561,"1,014",239,"11,151",0.02%,0.02%,0.01%,0.03%,--,--,"1,286","1,275",4,7,0,0,0,19.48,"123,808",-220,-0.18%,"123,197",-252,-0.2%,Followers
Notizie Italiane,,https://www.facebook.com/318649484943456,"21,441","7,534","9,322",830,0,0,0,0%,0,0,0,0,"1,477",178,390,"1,174",301,235,"11,289",0.02%,0.03%,0.05%,0.01%,--,--,"1,342","1,307",1,34,0,0,0,20.33,"64,525","3,059",4.98%,"60,901",3,5.18%,Followers
Semplici Pensieri,SempliciPensieribyVale,https://www.facebook.com/243340809431046,"21,121","7,653","9,279",878,0,0,0,0%,0,0,0,0,"1,07",215,725,709,459,133,"10,964",0.02%,0.02%,--,0.01%,--,--,"1,079","1,041",0,38,0,0,0,16.35,"124,728",-206,-0.16%,"128,093",-231,-0.18%,Followers
M5S Fanpage,M5SFanpage,https://www.facebook.com/1637033599934049,"18,115","3,778","10,308","1,053",0,0,0,0%,0,0,0,0,78,193,"1,555",482,620,48,"6,754",0.03%,0.03%,0.03%,0.01%,--,--,"1,214","1,203",4,7,0,0,0,18.39,"42,244",-91,-0.21%,"41,918",-107,-0.25%,Followers
